student_id,gender,major,program,GPA
1,Other,MS,CHD,9.404033094669208
2,Female,MS,CSE,8.505817170160245
3,Male,B.Tech,CSE,5.6619280070063125
4,Female,MS,CSE,8.768215828978134
5,Male,B.Tech,ECE,6.4585597743493395
6,Male,MS,ECE,8.847133345383394
7,Male,MS,CSE,8.588906881062682
8,Male,B.Tech,CSE,8.112317979394975
9,Male,B.Tech,ECE,5.712882669905593
10,Female,PhD,CHD,8.788058726087135
11,Male,MS,ECE,8.444779830260796
12,Female,MS,ECE,7.062138009827086
13,Female,B.Tech,CHD,7.472382691139484
14,Male,B.Tech,ECE,8.229978866964833
15,Male,B.Tech,CSE,5.268586093118043
16,Female,B.Tech,ECE,8.23424504840623
17,Male,B.Tech,CSE,6.037138229950998
18,Female,B.Tech,ECE,9.416780243405288
19,Male,B.Tech,ECE,5.92414739771592
20,Male,B.Tech,CHD,7.98281556294718
21,Male,B.Tech,CND,7.433992960743824
22,Male,MS,CSE,7.2035720727496315
23,Male,B.Tech,CSE,5.992412673997822
24,Male,MS,CND,6.636397745873442
25,Male,MS,CSE,7.851996535614739
26,Female,B.Tech,CHD,5.413816121667781
27,Male,B.Tech,CSE,7.028701397580771
28,Male,MS,ECE,8.170812778383192
29,Male,B.Tech,ECE,7.1504475118123825
30,Male,PhD,CND,7.950241796299239
31,Female,MS,CSE,9.061185663546249
32,Female,B.Tech,CSE,7.722337942572835
33,Male,MS,CHD,7.890384398040142
34,Male,B.Tech,ECE,8.03054269567787
35,Female,B.Tech,CSE,6.622020252674436
36,Male,B.Tech,CSE,6.786464605041594
37,Female,B.Tech,CSE,6.865172731022728
38,Male,B.Tech,CSE,6.449821040670447
39,Male,B.Tech,ECE,6.534619821998563
40,Male,MS,CND,6.249202647105217
41,Male,PhD,ECE,8.517296697565072
42,Male,B.Tech,CSE,7.780112562878903
43,Male,B.Tech,CSE,6.5488910508459695
44,Male,MS,ECE,8.51357568964262
45,Female,PhD,CND,8.533114118006011
46,Male,B.Tech,CSE,6.392006813238297
47,Female,MS,CSE,7.34293316770817
48,Male,B.Tech,CSE,7.517236609511477
49,Male,MS,CSE,8.464830768036531
50,Male,B.Tech,CSE,8.345133449718311
51,Male,B.Tech,CSE,7.726664722067377
52,Male,B.Tech,CSE,6.307421613601895
53,Male,MS,CHD,7.624570078760492
54,Male,B.Tech,CSE,6.784480838286571
55,Male,B.Tech,ECE,8.25612642064258
56,Female,MS,CND,8.659878291052243
57,Male,MS,ECE,8.995986430505358
58,Male,B.Tech,CSE,6.496393627297106
59,Male,B.Tech,CSE,8.428103857231967
60,Female,MS,ECE,7.283365751719263
61,Female,MS,ECE,7.951612363851552
62,Female,B.Tech,ECE,6.267012065019028
63,Male,PhD,ECE,8.195669793267081
64,Male,B.Tech,CHD,7.096971727709704
65,Male,B.Tech,CSE,7.462296109023265
66,Male,B.Tech,CSE,7.060959135390916
67,Male,B.Tech,CSE,7.145090821811003
68,Male,B.Tech,CSE,6.713113424330219
69,Female,B.Tech,CSE,9.35666360705888
70,Male,B.Tech,ECE,7.1301631425996135
71,Female,MS,CHD,8.456219711702813
72,Male,B.Tech,CND,6.306781663415416
73,Male,B.Tech,CSE,8.672550170673558
74,Male,B.Tech,ECE,4.7857281793849555
75,Male,B.Tech,CSE,8.674669739811648
76,Female,B.Tech,ECE,7.633557328526775
77,Male,B.Tech,CHD,6.995094235287159
78,Male,B.Tech,ECE,8.883187817245354
79,Female,B.Tech,ECE,8.302966404833782
80,Male,B.Tech,CHD,6.626211686372017
81,Male,MS,CHD,8.131153320480886
82,Male,MS,CHD,8.206864095509166
83,Male,B.Tech,ECE,6.813641518301945
